,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
311,XP_021412948.1,9.799562059,0.024220657,0.714132867,5.454034251,0.293675552,0.532132206
312,XP_021412949.1,7.839418544,0.00923701,1.283820619,44.30270104,0.808603675,0.092264289
313,XP_021412951.1,6.31567974,0.001887454,0.6445539,99,0.328380334,0.48362286
314,XP_021412956.2,7.042212187,0.001141058,0.484492703,99,0.314362726,0.502568954
315,XP_021412972.2,7.265381331,0.003353416,0.759654385,99,0.339825103,0.468744543
316,XP_021412973.2,7.951835112,0.037500841,0.853414139,12.12813798,0.741848267,0.129684914
317,XP_021412975.2,8.823679941,0.029905183,0.963254616,19.5840039,0.9558038,0.019631247
318,XP_021412978.1,8.319516546,0.012946841,1.071985961,27.39699864,0.927781052,0.032554501
319,XP_021412979.2,7.532216388,0.001467548,0.624859896,99,0.328510288,0.483451025
320,XP_021412982.1,6.901114295,0.004940324,1.503019991,99,0.508532534,0.293681257
321,XP_021412983.1,7.774325949,0.139200956,0.660207089,2.423290552,0.036950352,1.43238142
322,XP_021412984.1,9.430352678,0.00154145,0.997391405,99,0.377347763,0.42325822
323,XP_021412988.2,10.17549112,0.014610544,0.755948263,7.513132881,0.47067748,0.32727658
324,XP_021412991.1,7.334434628,0.00241051,1.348520463,99,0.46356466,0.33388968
325,XP_021412994.2,5.78872817,0.0280926,0.792841775,8.814378388,0.57087616,0.243458093
326,XP_021412999.2,7.563181448,0.002995179,1.36878523,99,0.469839743,0.32805025
327,XP_021413005.1,7.597570331,0.005997529,1.43882472,99,0.484560249,0.314652216
328,XP_021413007.2,6.636576039,0.015560972,1.322730888,53.35609139,0.765233408,0.116206078
329,XP_021413009.2,6.289408918,0.00274911,0.577864994,99,0.322395996,0.491610361
330,XP_021413012.2,8.299299704,0.009380713,0.960884071,99,0.365854034,0.436692152
331,XP_021413014.2,8.110674464,0.022733206,0.725606849,5.43557276,0.306154174,0.514059815
332,XP_021413018.2,6.102510075,0.004979766,0.941821437,99,0.364300461,0.438540279
333,XP_021413019.2,6.425747262,0.083259799,0.878663228,14.20590122,0.816385619,0.088104654
334,XP_021413021.1,9.748898763,0.005278391,1.692064342,99,0.643123552,0.191705586
335,XP_021413022.1,9.011819609,0.00325123,0.956594618,99,0.370285776,0.43146297
336,XP_021413025.1,6.879296457,0.002318887,0.738152864,99,0.340315344,0.468118469
337,XP_021413031.2,6.117160801,0.055752585,0.698736641,4.27494519,0.19119681,0.718519358
338,XP_021413032.1,6.937965394,0.003685772,0.973272078,99,0.368325569,0.433768132
339,XP_021413034.1,9.068903833,0.068471903,0.662364082,2.311850812,0.034256584,1.465255946
340,XP_021413036.2,5.950528446,0.004083166,0.901015343,99,0.365129463,0.437553122
341,XP_021413041.2,7.200940111,0.022968019,0.905740232,15.31863912,0.853443645,0.068825151
342,XP_021413042.2,6.717153336,0.029042062,0.751001128,6.49294649,0.404465959,0.393118024
343,XP_021413043.2,10.08020366,0.098362143,0.691005012,3.856349021,0.15244047,0.816899721
344,XP_021413045.2,7.101416179,0.022871658,0.874825293,15.32607178,0.847435265,0.071893467
345,XP_021413054.2,8.002907253,0.002445752,0.643129801,99,0.328298023,0.483731733
346,XP_021413059.2,8.90604991,0.005855344,1.277577409,46.70351899,0.79331918,0.100552046
347,XP_021413060.1,6.523763321,0.004880834,1.652846125,99,0.588629165,0.230158224
348,XP_021413065.2,6.893985345,0.001560091,0.465101193,99,0.314958877,0.501746147
349,XP_021413068.1,8.820734952,0.009225553,1.357231617,51.26758912,0.780799339,0.107460563
350,XP_021413073.1,7.602607584,0.003670467,1.651705772,99,0.648981067,0.187767973
351,XP_021413077.1,7.084647192,0.064563845,0.865217535,13.59971848,0.79451854,0.099895964
352,XP_021413078.1,5.660190545,0.011812188,0.927132153,19.55881467,0.953507646,0.02067582
353,XP_021413080.1,9.907093443,0.03759612,0.790333366,9.040463489,0.580070684,0.236519083
354,XP_021413081.2,6.704939662,0.007660898,1.675539253,92.68624823,0.690983333,0.160532428
355,XP_021413092.1,8.357558997,0.066943054,0.80050904,9.766382495,0.621048809,0.206874267
356,XP_021413095.2,6.958905424,0.004955007,1.131306634,99,0.397014896,0.401193198
357,XP_021413098.2,6.23497589,0.00404509,1.02205607,99,0.387515685,0.411710714
358,XP_021413100.1,8.583542435,0.037454739,0.663831564,2.258397091,0.033452401,1.475572706
359,XP_021413102.1,7.12928214,0.020403197,0.867935831,15.023902,0.837572231,0.07697773
360,XP_021413104.1,6.169112195,0.13515827,0.652867232,2.058332717,0.019258564,1.715376099
361,XP_021413125.1,7.36515509,0.058074825,0.742933921,6.074432746,0.369127172,0.432823985
362,XP_021413130.2,5.794779206,0.005116835,1.553410974,99,0.546906008,0.262087306
363,XP_021413132.1,7.508930165,0.008967274,1.118854402,99,0.398146198,0.399957427
364,XP_021413141.2,5.713478263,0.028075816,0.705435159,4.62282878,0.22423135,0.649303668
365,XP_021413144.1,5.781168366,0.017971166,0.866827221,12.92387235,0.773469406,0.11155686
366,XP_021413149.1,6.671972077,0.024105967,0.770697121,7.75635794,0.497720315,0.303014633
367,XP_021413153.1,7.544218678,0.008344923,1.439672451,99,0.505630645,0.296166612
368,XP_021413156.2,5.627530968,0.008920279,0.979989582,23.52277826,0.976056727,0.010524941
369,XP_021413161.1,7.139082226,0.019031705,1.013189833,25.88089874,0.943361848,0.025321692
370,XP_021413168.1,6.956312822,0.081052473,0.723186393,5.602894709,0.314595932,0.502246897
371,XP_021413170.1,5.630927465,0.005250458,1.410984931,99,0.505768227,0.296048457
372,XP_021413171.1,8.406603554,0.002379935,1.532902599,99,0.532978,0.273290717
373,XP_021413173.1,6.967824301,0.00320757,1.093310354,99,0.389360678,0.409647911
374,XP_021413174.1,8.099950261,0.002220898,0.855475881,99,0.35646529,0.447982752
375,XP_021413177.1,7.906443563,0.042478609,0.865364784,13.83951661,0.801814774,0.095925946
376,XP_021413180.2,7.784145879,0.003564558,1.028920884,99,0.377848131,0.422682722
377,XP_021413206.2,6.468004056,0.030469699,0.821152897,10.43740729,0.662341514,0.178918024
378,XP_021413214.1,8.137323069,0.005301806,0.735371661,99,0.340623902,0.46772488
379,XP_021413216.2,8.500248816,0.020940361,0.754891001,7.736521947,0.482838829,0.316197812
380,XP_021413222.1,6.076547717,0.004651108,1.703153009,99,0.612567954,0.212845727
381,XP_021413223.1,12.19454282,0.007176332,0.828277421,99,0.349816391,0.456159845
382,XP_021413237.2,7.774493384,0.052822735,0.840497511,12.88042266,0.763091102,0.11742361
383,XP_021413250.1,8.557366339,0.0049443,1.003733709,99,0.375239345,0.425691631
384,XP_021413259.2,5.940687528,0.006940006,1.572437173,99,0.553484599,0.256894459
385,XP_021413268.1,7.403846364,0.043143856,0.756203506,7.096563312,0.446308697,0.35036465
386,XP_021413269.1,9.743770075,0.062508889,0.643800273,1.553128329,0.005208241,2.283308928
387,XP_021413272.2,5.766072301,0.053259487,0.820359988,10.81906699,0.677561369,0.169051363
388,XP_021413273.2,7.448504403,0.008512171,1.060059472,99,0.389682952,0.409288593
389,XP_021413275.2,6.942359702,0.004876152,0.929978087,99,0.36264087,0.440523252
390,XP_021413277.2,7.341715841,0.013354918,0.936668137,17.22229067,0.90459913,0.043543834
391,XP_021413281.2,5.865699415,0.001782381,0.643794695,99,0.32746953,0.484829104
392,XP_021413282.1,10.31550256,0.051641799,0.71920073,5.755354624,0.320551826,0.494101745
393,XP_021413284.1,11.30828303,0.001598112,0.932789217,99,0.361397112,0.442015322
394,XP_021413286.2,8.291993869,0.007659338,0.90416397,99,0.362101219,0.441170013
395,XP_021413288.1,6.595196967,0.003655686,1.576583662,79.46828863,0.709468739,0.149066736
396,XP_021413289.2,7.550414359,0.020168766,1.071877471,28.64807642,0.91284516,0.039602883
397,XP_021413290.1,7.044360675,0.026485025,0.892698011,14.50929744,0.828605895,0.081651981
398,XP_021413292.1,7.429987456,0.059185075,0.821265453,11.57035471,0.707893574,0.15003203
399,XP_021413293.2,8.147298937,0.008839643,1.119784567,30.66890881,0.895546756,0.047911735
400,XP_021413294.1,8.038071629,0.0051107,1.153777652,34.23732333,0.865223378,0.062871755
401,XP_021413295.2,7.112333008,0.013676895,1.491206209,65.74578202,0.739925168,0.1308122
402,XP_021413297.1,9.35364868,0.061952464,0.640511165,1.368956519,0.002645012,2.577572353
403,XP_021413305.2,6.60259914,0.005797422,1.120899307,33.3066401,0.869876977,0.060542163
404,XP_021413307.1,8.679395155,0.237866065,0.658582345,2.302165307,0.030993546,1.508728733
405,XP_021413309.1,5.749559993,0.013716631,1.50079378,75.27856417,0.710213158,0.148611286
406,XP_021413313.2,8.551048339,0.001829662,1.434214754,58.54398659,0.759203134,0.119642008
407,XP_021413314.2,6.284301838,0.004706832,0.811211464,99,0.347980257,0.458445395
408,XP_021413320.1,8.56027777,0.00355696,0.918317224,99,0.360717499,0.442832789
409,XP_021413321.2,8.162213339,0.005940253,1.276653424,99,0.452474776,0.344405626
410,XP_021413322.1,9.358809176,0.000451652,0.36713763,99,0.30448152,0.516439061
411,XP_021413328.2,6.717486955,0.027297968,0.808713524,10.57059916,0.661186203,0.179676217
412,XP_021413332.2,7.642942666,0.035263308,0.912809541,18.15460437,0.922819854,0.03488307
413,XP_021413333.1,12.61752569,0.010537079,1.370898076,51.51345794,0.781752748,0.106930583
414,XP_021413338.1,7.903909759,0.008014708,0.95861934,99,0.375290275,0.425632689
415,XP_021413339.2,6.843712189,0.005061051,1.135791845,99,0.4089342,0.388346567
416,XP_021413341.1,10.15526464,0.009819483,1.053164343,29.11825996,0.906142078,0.042803702
417,XP_021413343.2,6.2240669,0.006128766,1.705883321,99,0.678486964,0.168458492
418,XP_021413346.2,7.051270615,0.006016899,1.07338955,99,0.39268066,0.405960488
419,XP_021413348.1,6.452287824,0.001543225,0.412830752,99,0.307379504,0.512325095
420,XP_021413349.2,8.51729187,0.015083815,0.871400841,14.42767949,0.821056112,0.085627162
421,XP_021413350.2,5.780403831,0.004357455,1.410357584,99,0.472249357,0.325828625
422,XP_021413353.2,11.17254323,0.59936753,0.638991599,1.311733927,0.002007384,2.697369542
423,XP_021413356.2,7.060643609,0.001434035,0.942696878,99,0.363980451,0.438921941
424,XP_021413358.1,8.944263433,0.026863734,1.631218928,99,0.622992384,0.205517263
425,XP_021413361.2,7.185267308,0.034227615,0.726885119,6.152462383,0.356168002,0.4483451
426,XP_021413367.2,5.950041435,0.012376342,0.992390439,21.86249745,0.997217041,0.001210309
427,XP_021413369.1,6.44025187,0.000954784,0.289668813,99,0.300586229,0.52203092
428,XP_021413370.1,6.547509023,0.002699233,1.331761052,99,0.451294181,0.345540266
429,XP_021413374.2,10.11979897,0.013696875,0.718557951,5.074250622,0.27258803,0.564493219
430,XP_021413377.2,10.62267322,0.015912731,0.756294522,6.794418482,0.428442392,0.368107565
431,XP_021413381.1,8.444682894,0.049212457,0.683714017,3.234680476,0.103349697,0.985690792
432,XP_021413386.1,7.694630563,0.00323352,1.578718151,99,0.541053122,0.266760093
433,XP_021413388.1,9.581529214,0.009673636,0.873762471,14.41294452,0.821204273,0.0855488
434,XP_021413390.2,7.640088541,0.002376848,0.470593938,99,0.31408112,0.502958169
435,XP_021413391.1,11.99724887,0.029323149,0.701397241,4.165534879,0.18717388,0.727754757
436,XP_021413393.1,7.782362271,0.010690753,0.773644286,8.366020742,0.533215261,0.273097429
437,XP_021413395.2,7.459887298,0.002858978,1.163787506,99,0.414895299,0.382061486
438,XP_021413398.2,7.165063015,0.002703619,0.808024732,99,0.348353199,0.457980197
439,XP_021413399.2,7.512048151,0.011037877,1.174510435,35.27887283,0.858722168,0.066147326
440,XP_021413402.2,5.802581637,0.004020531,1.287655766,99,0.454717033,0.342258777
441,XP_021413404.1,8.663169144,0.010004745,1.499101186,99,0.505917798,0.295920042
442,XP_021413410.1,7.559430139,0.001318581,0.377115665,99,0.30542917,0.515089488
443,XP_021413419.2,6.309775077,0.04676368,0.731182752,6.095631992,0.357022836,0.447304005
444,XP_021413424.1,6.618290461,0.004657025,1.720080971,99,0.62438858,0.204545049
445,XP_021413425.2,7.964601445,0.001741382,1.206337945,99,0.413845986,0.383161253
446,XP_021413426.2,5.990510965,0.004280687,0.964841121,99,0.374423076,0.426637393
447,XP_021413431.1,10.15196007,0.004441284,1.456666247,99,0.514165274,0.288897258
448,XP_021413441.2,7.076891193,0.00971705,1.38145365,53.93656188,0.771496245,0.112666183
449,XP_021413443.2,7.002500353,0.075572292,0.699876851,4.330552848,0.196553278,0.706519709
450,XP_021413450.1,7.644497597,0.026669018,0.817252055,10.46538982,0.661327022,0.179583732
451,XP_021413453.2,7.855569585,0.02590883,1.13061053,34.41475422,0.860933122,0.065030584
452,XP_021413454.2,8.701064687,0.000747347,0.438924555,99,0.3124797,0.505178191
453,XP_021413456.2,6.941578095,0.045942183,0.747608313,6.386131109,0.394072356,0.40442403
454,XP_021413459.2,7.565591382,0.003813179,0.635391638,99,0.326915737,0.485564173
455,XP_021413464.1,9.654291908,0.04802751,1.017895261,24.16999147,0.967459116,0.014367379
456,XP_021413467.2,7.825001451,0.037058867,0.679750274,3.082239505,0.089546821,1.047949827
457,XP_021413474.1,7.654301782,0.004388439,1.243740559,99,0.440079776,0.356468589
458,XP_021413486.2,7.346267071,0.011566986,1.630749567,99,0.602815048,0.219815915
459,XP_021413490.1,6.099895995,0.030828285,0.778580081,8.74991315,0.557081604,0.254081183
460,XP_021413496.2,6.688934043,0.035536871,0.777874651,8.013260221,0.517972313,0.285693454
461,XP_021413497.1,8.054910716,0.054214133,0.789952894,8.944829434,0.575124359,0.240238238
462,XP_021413500.2,6.713804102,0.053714438,0.732769978,6.555356746,0.389103441,0.409934929
463,XP_021413502.2,5.953096671,0.006294462,1.581112362,99,0.557653261,0.253635754
464,XP_021413509.2,6.803428108,0.00552327,1.576642594,99,0.540824522,0.266943625
465,XP_021413515.1,7.940907673,0.022330737,0.861267563,12.67131519,0.763255319,0.11733016
466,XP_021413518.1,9.669019227,0.009234517,0.801955748,99,0.348948079,0.457239188
467,XP_021413527.2,8.676552201,0.091182192,0.677768928,2.910718298,0.077649178,1.109863137
468,XP_021413531.1,8.057974854,0.090114473,0.731428686,6.342217466,0.373664195,0.427518515
469,XP_021413535.2,6.222191944,0.017409334,0.896679698,15.71493141,0.862018202,0.064483564
470,XP_021413538.2,6.426529624,0.006232716,0.906661401,99,0.358388875,0.44564548
471,XP_021413539.2,7.843877251,0.373623382,0.650565024,1.85561594,0.012890031,1.889746038
472,XP_021413545.1,6.975130463,0.161027227,0.661099435,2.221078002,0.029921697,1.524013779
473,XP_021413546.1,9.66826512,0.051448023,1.247416576,47.18762758,0.786227354,0.104451851
474,XP_021413547.2,9.583071756,0.015790755,1.001653171,99,0.383442916,0.416299281
475,XP_021413548.1,11.61588441,0.177528018,0.805756258,10.97145171,0.67666329,0.169627384
476,XP_021413549.1,7.811034826,0.650709369,0.66654292,2.804536127,0.060109755,1.221055042
477,XP_021413550.1,12.06045754,0.248963405,0.718652845,5.630796273,0.31123537,0.506911054
478,XP_021413552.1,7.91978266,0.605165815,0.67989259,3.528903429,0.117074581,0.931537388
479,XP_021413560.2,9.979809781,0.004837446,1.180675092,99,0.424808809,0.371806486
480,XP_021413564.2,8.43919671,0.007151778,0.86032417,99,0.353628426,0.451452832
481,XP_021413568.2,6.765746738,0.0787059,0.716953622,4.819683691,0.253061192,0.596774451
482,XP_021413572.2,5.575950499,0.003837599,1.016982402,99,0.375147559,0.425797875
483,XP_021413575.1,8.891760875,0.001986258,0.867003339,99,0.351809954,0.453691877
484,XP_021413577.2,9.342674081,0.004843142,1.058273754,99,0.392142205,0.406556413
485,XP_021413578.2,9.278486407,0.000747484,0.263614663,99,0.299713332,0.523293938
486,XP_021413579.1,8.559387423,0.032884939,0.975247198,22.30133764,0.995513067,0.001953035
487,XP_021413584.1,7.916165642,0.068295416,0.722534745,5.063021082,0.277045715,0.557448563
488,XP_021413587.1,9.752019868,0.000845908,0.333861097,99,0.302897578,0.518704199
489,XP_021413588.2,6.526943843,0.015328852,1.309363427,49.18276275,0.784295891,0.10552006
490,XP_021413589.2,6.973086805,0.095592314,0.71625263,5.203826612,0.278636449,0.554962073
491,XP_021413597.2,7.882698337,0.064814705,0.737331405,5.943446276,0.354076157,0.450903317
492,XP_021413602.1,7.228001302,0.022700706,0.958994258,19.10415553,0.946277179,0.023981633
493,XP_021413604.2,8.905096101,0.787772328,0.639484623,1.243369759,0.001656422,2.78082901
494,XP_021413605.2,8.124258365,0.224054447,0.784972717,8.367437284,0.542375742,0.265699743
495,XP_021413606.2,8.489776458,0.019726828,0.75184211,7.224731944,0.449781865,0.346998059
496,XP_021413607.1,6.636952022,0.008119761,1.53339355,78.45228397,0.705900914,0.151256256
497,XP_021413609.1,8.071030398,0.005827422,1.082702627,99,0.391697617,0.407049071
498,XP_021413613.1,6.012908896,0.036506162,0.749056649,7.137312401,0.441848374,0.354726739
499,XP_021413615.2,5.51365424,0.036842342,0.713352114,5.389727786,0.288224573,0.540268996
500,XP_021413617.1,8.191333335,0.00553947,0.810393068,99,0.346036556,0.460878019
501,XP_021413626.2,7.738457084,0.007432652,1.382710064,99,0.47336725,0.324801792
502,XP_021413627.2,5.861868917,0.005714878,0.915968176,99,0.365163065,0.437513156
503,XP_021413631.1,9.855909503,0.015015621,1.797311552,99,0.687089021,0.162986991
504,XP_021413635.2,7.572273066,0.008611776,1.118685332,99,0.395498422,0.402855245
505,XP_021413638.2,6.709999744,0.011783801,1.050012761,26.36839513,0.939069194,0.027302406
506,XP_021413641.1,8.465340516,0.024285879,0.99956956,21.56232959,0.992289226,0.003361724
507,XP_021413648.1,8.541623011,0.02016978,0.701342674,4.041602652,0.178723733,0.747817773
508,XP_021413653.2,5.91399881,0.007611638,1.124809789,35.76905237,0.848570489,0.071312076
509,XP_021413669.2,6.967047942,0.102270774,0.842801997,11.51141557,0.71523372,0.145552019
510,XP_021413674.2,7.158201931,0.005371236,1.276675358,43.51953254,0.812476733,0.090189067
511,XP_021413678.2,9.456628861,0.005849436,1.271638545,42.60476698,0.817640799,0.087437446
512,XP_021413681.1,8.478095805,0.007407621,1.379411625,53.75907876,0.772025874,0.112368144
513,XP_021413682.2,8.141485438,0.00421452,1.612014109,99,0.614333673,0.211595679
514,XP_021413684.2,8.426364109,0.004048015,1.463227325,63.00932826,0.745707372,0.127431563
515,XP_021413686.2,9.035786805,0.007031326,1.548835799,99,0.541470608,0.266425113
516,XP_021413688.2,10.03523453,0.054222055,0.665336416,2.331110488,0.037505585,1.425904056
517,XP_021413689.1,6.429636563,0.005434099,1.489621446,99,0.522980947,0.281514133
518,XP_021413690.1,7.61692593,0.024658252,0.961150674,21.28160317,0.987016287,0.005675681
